class_id,average_precision
1,0.79286
2,0.91528
3,0.78243
4,0.96496
5,0.8155
6,0.99355
7,0.93788
8,1.0
9,0.78264
10,0.90823
11,0.93323
12,0.88932
13,0.94705
14,0.77956
15,0.8229
16,0.75112
17,0.99973
18,0.98362
19,0.99519
20,0.99107
21,1.0
22,0.92608
23,0.99554
24,0.77181
25,1.0
26,0.92348
27,1.0
28,0.97848
29,0.97621
30,0.85547
31,0.82353
32,0.94531
33,1.0
34,0.90384
35,0.95772
36,1.0
37,0.98429
38,0.94426
39,0.87638
40,0.97914
41,0.99295
42,0.97838
43,0.0104
44,0.99944
45,0.00564
46,0.93486
47,0.99446
48,0.87371
49,0.99481
50,0.76704
51,0.89721
52,0.9951
53,0.96592
54,0.9991
55,0.00543
56,0.98389
57,0.96008
58,0.96846
59,0.00608
60,1.0
61,0.99572
62,0.87738
63,0.98027
64,0.99409
65,0.93068
66,0.9946
67,0.95965
68,0.79307
69,0.96123
70,0.99767
71,0.97583
72,0.94508
73,0.96409
74,0.99382
75,0.65591
76,0.94466
77,0.99872
78,0.98173
79,0.95371
80,0.99628
81,0.99466
82,0.9915
83,0.96319
84,0.5801
85,0.99834
86,0.70996
87,0.96297
88,0.92952
89,0.97521
90,0.87853
91,0.55765
92,0.99862
93,0.03168
94,0.97683
95,0.99018
96,0.85367
97,0.62301
98,0.89123
99,0.95093
100,0.95535
101,0.98471
102,0.81704
