class_id,class_size,correct_in_topN,precision_at_class_size
1,27,20,0.74074
2,49,40,0.81633
3,36,25,0.69444
4,44,39,0.88636
5,54,39,0.72222
6,35,33,0.94286
7,33,29,0.87879
8,70,70,1.0
9,41,27,0.65854
10,38,34,0.89474
11,68,60,0.88235
12,73,59,0.80822
13,38,34,0.89474
14,44,32,0.72727
15,38,30,0.78947
16,36,23,0.63889
17,60,59,0.98333
18,65,61,0.93846
19,38,37,0.97368
20,46,45,0.97826
21,34,34,1.0
22,47,40,0.85106
23,72,69,0.95833
24,35,24,0.68571
25,34,34,1.0
26,33,30,0.90909
27,36,36,1.0
28,55,51,0.92727
29,62,58,0.93548
30,61,47,0.77049
31,48,35,0.72917
32,36,33,0.91667
33,31,31,1.0
34,28,23,0.82143
35,33,30,0.90909
36,62,62,1.0
37,92,86,0.93478
38,44,40,0.90909
39,33,28,0.84848
40,54,50,0.92593
41,97,93,0.95876
42,49,47,0.95918
43,100,0,0.0
44,73,72,0.9863
45,33,0,0.0
46,157,135,0.85987
47,61,59,0.96721
48,57,46,0.80702
49,38,36,0.94737
50,73,51,0.69863
51,206,175,0.84951
52,67,65,0.97015
53,70,63,0.9
54,47,46,0.97872
55,56,0,0.0
56,92,88,0.95652
57,50,46,0.92
58,86,80,0.93023
59,56,0,0.0
60,85,85,1.0
61,36,34,0.94444
62,48,38,0.79167
63,42,40,0.95238
64,42,40,0.95238
65,88,79,0.89773
66,51,50,0.98039
67,36,31,0.86111
68,43,33,0.76744
69,46,42,0.91304
70,51,50,0.98039
71,64,57,0.89062
72,77,70,0.90909
73,147,130,0.88435
74,142,137,0.96479
75,95,57,0.6
76,83,72,0.86747
77,205,201,0.98049
78,112,103,0.91964
79,34,31,0.91176
80,82,81,0.9878
81,135,131,0.97037
82,82,80,0.97561
83,104,97,0.93269
84,66,38,0.57576
85,48,47,0.97917
86,48,30,0.625
87,51,47,0.92157
88,116,97,0.83621
89,153,144,0.94118
90,66,52,0.78788
91,59,29,0.49153
92,53,51,0.96226
93,34,2,0.05882
94,132,120,0.90909
95,101,100,0.9901
96,72,62,0.86111
97,54,33,0.61111
98,68,54,0.79412
99,50,43,0.86
100,35,30,0.85714
101,49,46,0.93878
102,36,29,0.80556
