class_id,class_size,topN_70,topN_80,topN_90,topN_95,threshold_70,threshold_80,threshold_90,threshold_95
1,27,26,34,50,51,0.13915,0.13033,0.11447,0.11366
2,49,37,45,75,86,0.09562,0.08807,0.07893,0.07664
3,36,39,47,67,227,0.11541,0.11272,0.10759,0.08375
4,44,32,39,45,52,0.12268,0.11493,0.10914,0.10568
5,54,50,80,90,114,0.11872,0.11281,0.11144,0.1073
6,35,25,28,34,36,0.14171,0.1403,0.1356,0.12684
7,33,27,31,35,37,0.12146,0.11731,0.11571,0.11389
8,70,49,56,63,67,0.13403,0.13103,0.12508,0.12168
9,41,45,60,84,94,0.107,0.10355,0.09576,0.0943
10,38,29,33,45,48,0.13379,0.12817,0.11691,0.11249
11,68,50,59,83,93,0.10664,0.10164,0.09087,0.08649
12,73,60,69,99,137,0.12964,0.12745,0.11619,0.10546
13,38,29,33,40,61,0.1306,0.12944,0.12339,0.10151
14,44,43,52,68,76,0.10944,0.10489,0.10001,0.09728
15,38,33,39,43,47,0.13957,0.13654,0.13351,0.12756
16,36,45,51,77,96,0.12477,0.1211,0.11426,0.10563
17,60,42,48,54,57,0.10514,0.10303,0.09617,0.09358
18,65,47,53,63,66,0.11024,0.10821,0.1011,0.10044
19,38,27,31,36,38,0.12719,0.1195,0.11369,0.11065
20,46,34,38,43,45,0.11325,0.10557,0.09944,0.09657
21,34,24,28,31,33,0.13857,0.13016,0.12819,0.12373
22,47,35,41,50,57,0.12006,0.118,0.10841,0.10477
23,72,51,58,66,72,0.12137,0.11791,0.11183,0.10317
24,35,40,45,52,64,0.09723,0.09472,0.09368,0.08966
25,34,24,28,31,33,0.12777,0.12215,0.11751,0.10996
26,33,25,29,32,37,0.11238,0.11136,0.10733,0.103
27,36,26,29,33,35,0.09478,0.09222,0.08852,0.07991
28,55,40,47,53,58,0.11712,0.10931,0.10521,0.09926
29,62,45,51,59,65,0.13339,0.13126,0.12723,0.11675
30,61,48,67,94,126,0.08955,0.07652,0.062,0.0488
31,48,46,53,78,85,0.11562,0.11346,0.10318,0.09774
32,36,28,31,35,55,0.10093,0.09645,0.09051,0.07216
33,31,22,25,28,30,0.12998,0.12792,0.12239,0.10698
34,28,21,26,47,72,0.10633,0.0974,0.08862,0.0822
35,33,26,29,32,36,0.1162,0.11441,0.11167,0.10367
36,62,44,50,56,59,0.10013,0.09854,0.09524,0.09308
37,92,65,75,85,97,0.10667,0.10324,0.09897,0.08987
38,44,33,38,44,56,0.11013,0.10663,0.1016,0.09258
39,33,26,29,84,128,0.10242,0.09811,0.07605,0.07146
40,54,39,46,52,58,0.1053,0.10054,0.09803,0.09118
41,97,68,78,89,97,0.11464,0.11093,0.10495,0.0978
42,49,37,42,47,49,0.09804,0.09674,0.09305,0.09273
43,100,5509,5830,5996,6175,0.00864,0.00733,0.00643,0.00529
44,73,52,59,66,70,0.11335,0.11136,0.10866,0.10571
45,33,4390,4666,5419,6111,0.00912,0.00851,0.00606,0.00264
46,157,118,140,179,226,0.09894,0.09235,0.07953,0.07095
47,61,43,49,57,60,0.10571,0.10402,0.10131,0.09843
48,57,45,56,70,95,0.12365,0.11804,0.11347,0.10764
49,38,27,31,35,40,0.09789,0.09424,0.08875,0.07771
50,73,74,91,109,116,0.11516,0.11285,0.10749,0.10472
51,206,162,192,224,252,0.10773,0.10386,0.10052,0.09634
52,67,47,54,62,66,0.12078,0.11635,0.1105,0.1086
53,70,51,58,70,79,0.12296,0.12113,0.11496,0.11003
54,47,33,38,43,45,0.10655,0.10156,0.09738,0.0942
55,56,5535,5936,6127,6256,-0.04514,-0.05086,-0.05454,-0.05817
56,92,65,75,85,92,0.0996,0.09702,0.09235,0.08909
57,50,35,41,49,70,0.1068,0.09978,0.08366,0.07034
58,86,63,71,82,90,0.11794,0.11615,0.11232,0.11046
59,56,4805,5107,5443,5737,-0.05637,-0.05919,-0.06337,-0.06773
60,85,60,68,77,81,0.10886,0.10658,0.10386,0.10206
61,36,26,29,33,37,0.13194,0.12679,0.12239,0.10997
62,48,36,49,63,87,0.125,0.11866,0.11411,0.10876
63,42,31,35,39,42,0.13916,0.13825,0.13581,0.1342
64,42,30,34,39,41,0.16499,0.16318,0.15846,0.15453
65,88,67,77,90,122,0.10235,0.09919,0.09345,0.08419
66,51,36,41,46,50,0.13089,0.12874,0.12689,0.12322
67,36,28,31,39,43,0.11933,0.11553,0.1086,0.10575
68,43,38,50,58,73,0.10109,0.09651,0.09332,0.08801
69,46,35,39,46,50,0.12325,0.12141,0.11879,0.11628
70,51,36,41,46,50,0.16432,0.15736,0.1514,0.14523
71,64,45,55,65,72,0.12945,0.12303,0.11578,0.11225
72,77,56,64,77,94,0.10779,0.10307,0.09887,0.09351
73,147,106,124,151,165,0.10669,0.10466,0.10112,0.09897
74,142,101,115,129,137,0.08465,0.08333,0.08099,0.07764
75,95,118,149,199,241,0.10622,0.10288,0.09806,0.09489
76,83,61,72,98,115,0.12957,0.12467,0.11544,0.11102
77,205,144,164,186,196,0.13444,0.13094,0.12351,0.11955
78,112,79,92,105,124,0.12329,0.12095,0.11792,0.11142
79,34,24,30,33,47,0.13206,0.12651,0.12213,0.10906
80,82,58,66,74,78,0.12064,0.11677,0.11248,0.10772
81,135,95,108,124,131,0.12862,0.12629,0.12241,0.11776
82,82,58,67,75,79,0.11652,0.11401,0.11009,0.10489
83,104,76,88,99,114,0.09894,0.09751,0.09509,0.09162
84,66,98,180,392,525,0.09599,0.08393,0.07183,0.06561
85,48,34,39,44,46,0.12947,0.12545,0.12058,0.11865
86,48,57,75,103,109,0.1113,0.10859,0.10195,0.09917
87,51,37,43,49,56,0.10695,0.10449,0.10183,0.09811
88,116,84,102,139,212,0.1137,0.10611,0.09619,0.08689
89,153,111,127,144,161,0.12357,0.11983,0.11497,0.11022
90,66,52,67,89,106,0.11164,0.10756,0.10448,0.10067
91,59,107,115,169,192,0.09694,0.09636,0.09058,0.08928
92,53,38,43,48,51,0.11812,0.11046,0.10237,0.09907
93,34,1474,1852,2081,2916,-0.05793,-0.06184,-0.06385,-0.07073
94,132,94,108,131,142,0.10529,0.10047,0.09171,0.08723
95,101,71,81,91,96,0.11725,0.1152,0.10787,0.10013
96,72,56,65,273,1440,0.07049,0.06653,0.0316,0.00959
97,54,74,104,162,189,0.10816,0.10311,0.09536,0.09285
98,68,54,69,92,162,0.13276,0.12404,0.11743,0.10735
99,50,37,43,56,64,0.10648,0.1044,0.09538,0.09092
100,35,25,30,40,42,0.12654,0.12186,0.1135,0.11244
101,49,35,40,46,56,0.11618,0.11218,0.10321,0.08588
102,36,32,35,56,71,0.13714,0.13584,0.11846,0.11316
